# CLASS transfer function for vanilla LCDM with 3 massless neutrinos
# omega_b = 0.022383, omega_cdm = 0.12011, h = 0.6732, ln10^{10}A_s = 3.0448, n_s = 0.96605
# (cosmo parameters taken from first column in Table 1 of arxiv:1807.06209)
# 1:k (h/Mpc)   2:T(k)
2.31982e-03        9.62975e-01
2.33233e-03        9.62696e-01
2.34489e-03        9.62415e-01
2.35753e-03        9.62133e-01
2.37024e-03        9.61848e-01
2.38301e-03        9.61562e-01
2.39585e-03        9.61274e-01
2.40876e-03        9.60984e-01
2.42174e-03        9.60692e-01
2.43479e-03        9.60398e-01
2.44791e-03        9.60102e-01
2.46111e-03        9.59804e-01
2.47437e-03        9.59505e-01
2.48770e-03        9.59203e-01
2.50111e-03        9.58899e-01
2.51459e-03        9.58594e-01
2.52814e-03        9.58286e-01
2.54176e-03        9.57977e-01
2.55546e-03        9.57665e-01
2.56923e-03        9.57352e-01
2.58308e-03        9.57036e-01
2.59700e-03        9.56719e-01
2.61099e-03        9.56399e-01
2.62506e-03        9.56077e-01
2.63921e-03        9.55753e-01
2.65343e-03        9.55428e-01
2.66773e-03        9.55100e-01
2.68211e-03        9.54770e-01
2.69656e-03        9.54438e-01
2.71109e-03        9.54104e-01
2.72570e-03        9.53767e-01
2.74039e-03        9.53429e-01
2.75516e-03        9.53088e-01
2.77001e-03        9.52745e-01
2.78493e-03        9.52401e-01
2.79994e-03        9.52053e-01
2.81503e-03        9.51704e-01
2.83020e-03        9.51353e-01
2.84545e-03        9.50999e-01
2.86079e-03        9.50643e-01
2.87620e-03        9.50285e-01
2.89170e-03        9.49925e-01
2.90729e-03        9.49562e-01
2.92295e-03        9.49197e-01
2.93871e-03        9.48830e-01
2.95454e-03        9.48461e-01
2.97046e-03        9.48089e-01
2.98647e-03        9.47715e-01
3.00257e-03        9.47339e-01
3.01875e-03        9.46960e-01
3.03501e-03        9.46579e-01
3.05137e-03        9.46196e-01
3.06781e-03        9.45811e-01
3.08435e-03        9.45423e-01
3.10097e-03        9.45032e-01
3.11768e-03        9.44639e-01
3.13448e-03        9.44244e-01
3.15137e-03        9.43847e-01
3.16835e-03        9.43447e-01
3.18543e-03        9.43044e-01
3.20259e-03        9.42640e-01
3.21985e-03        9.42232e-01
3.23720e-03        9.41823e-01
3.25465e-03        9.41410e-01
3.27219e-03        9.40996e-01
3.28982e-03        9.40578e-01
3.30755e-03        9.40159e-01
3.32537e-03        9.39737e-01
3.34330e-03        9.39312e-01
3.36131e-03        9.38885e-01
3.37943e-03        9.38455e-01
3.39764e-03        9.38022e-01
3.41595e-03        9.37587e-01
3.43436e-03        9.37150e-01
3.45286e-03        9.36710e-01
3.47147e-03        9.36267e-01
3.49018e-03        9.35822e-01
3.50899e-03        9.35374e-01
3.52790e-03        9.34923e-01
3.54691e-03        9.34470e-01
3.56602e-03        9.34014e-01
3.58524e-03        9.33555e-01
3.60456e-03        9.33094e-01
3.62399e-03        9.32630e-01
3.64351e-03        9.32163e-01
3.66315e-03        9.31694e-01
3.68289e-03        9.31222e-01
3.70274e-03        9.30747e-01
3.72269e-03        9.30269e-01
3.74275e-03        9.29789e-01
3.76292e-03        9.29306e-01
3.78320e-03        9.28820e-01
3.80359e-03        9.28331e-01
3.82408e-03        9.27839e-01
3.84469e-03        9.27345e-01
3.86541e-03        9.26848e-01
3.88624e-03        9.26348e-01
3.90718e-03        9.25845e-01
3.92824e-03        9.25339e-01
3.94941e-03        9.24830e-01
3.97069e-03        9.24319e-01
3.99209e-03        9.23804e-01
4.01360e-03        9.23287e-01
4.03523e-03        9.22767e-01
4.05698e-03        9.22243e-01
4.07884e-03        9.21717e-01
4.10082e-03        9.21188e-01
4.12292e-03        9.20656e-01
4.14514e-03        9.20121e-01
4.16748e-03        9.19583e-01
4.18994e-03        9.19042e-01
4.21252e-03        9.18498e-01
4.23522e-03        9.17951e-01
4.25804e-03        9.17401e-01
4.28099e-03        9.16847e-01
4.30406e-03        9.16291e-01
4.32725e-03        9.15732e-01
4.35057e-03        9.15169e-01
4.37402e-03        9.14604e-01
4.39759e-03        9.14035e-01
4.42129e-03        9.13464e-01
4.44511e-03        9.12889e-01
4.46907e-03        9.12311e-01
4.49315e-03        9.11730e-01
4.51736e-03        9.11145e-01
4.54171e-03        9.10558e-01
4.56618e-03        9.09967e-01
4.59079e-03        9.09373e-01
4.61553e-03        9.08776e-01
4.64040e-03        9.08176e-01
4.66541e-03        9.07572e-01
4.69055e-03        9.06965e-01
4.71583e-03        9.06355e-01
4.74124e-03        9.05742e-01
4.76679e-03        9.05125e-01
4.79248e-03        9.04505e-01
4.81831e-03        9.03882e-01
4.84427e-03        9.03255e-01
4.87038e-03        9.02625e-01
4.89662e-03        9.01992e-01
4.92301e-03        9.01355e-01
4.94954e-03        9.00715e-01
4.97621e-03        9.00072e-01
5.00303e-03        8.99426e-01
5.02999e-03        8.98776e-01
5.05710e-03        8.98122e-01
5.08435e-03        8.97465e-01
5.11175e-03        8.96805e-01
5.13930e-03        8.96141e-01
5.16699e-03        8.95473e-01
5.19484e-03        8.94802e-01
5.22283e-03        8.94128e-01
5.25098e-03        8.93450e-01
5.27927e-03        8.92769e-01
5.30772e-03        8.92084e-01
5.33633e-03        8.91397e-01
5.36508e-03        8.90706e-01
5.39400e-03        8.90011e-01
5.42306e-03        8.89312e-01
5.45229e-03        8.88610e-01
5.48167e-03        8.87904e-01
5.51121e-03        8.87195e-01
5.54091e-03        8.86483e-01
5.57077e-03        8.85767e-01
5.60079e-03        8.85048e-01
5.63097e-03        8.84322e-01
5.66132e-03        8.83591e-01
5.69183e-03        8.82855e-01
5.72250e-03        8.82115e-01
5.75334e-03        8.81371e-01
5.78434e-03        8.80626e-01
5.81552e-03        8.79880e-01
5.84685e-03        8.79131e-01
5.87836e-03        8.78379e-01
5.91004e-03        8.77622e-01
5.94189e-03        8.76862e-01
5.97391e-03        8.76097e-01
6.00610e-03        8.75328e-01
6.03847e-03        8.74555e-01
6.07101e-03        8.73779e-01
6.10373e-03        8.72998e-01
6.13662e-03        8.72215e-01
6.16969e-03        8.71427e-01
6.20294e-03        8.70636e-01
6.23637e-03        8.69842e-01
6.26997e-03        8.69043e-01
6.30376e-03        8.68241e-01
6.33773e-03        8.67434e-01
6.37189e-03        8.66625e-01
6.40623e-03        8.65812e-01
6.44075e-03        8.64997e-01
6.47546e-03        8.64177e-01
6.51035e-03        8.63353e-01
6.54544e-03        8.62524e-01
6.58071e-03        8.61688e-01
6.61617e-03        8.60848e-01
6.65183e-03        8.60005e-01
6.68767e-03        8.59157e-01
6.72371e-03        8.58306e-01
6.75995e-03        8.57452e-01
